index,brand_name,model,price,rating,processor,processor_brand,iter,ram,threads_num,core_num,ram_num,memory_type,memory_size,gpu_brand,gpu_type,os,display_size,resolutioin_height,resolutioin_width,Touch_Screen,warrenty
391,Asus,Asus V16 V3607 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 / 6GB Graph),109900,4.2,13th Gen Intel Core i5 13420H,Intel,Core i5,16 GB DDR5 RAM,12.0,8.0,16,SSD,512,NVIDIA,Dedicated,Windows 11,16,1920,1200,False,1
392,HP,HP ZBook Firefly 16 G11 A1VX4PT Laptop (Intel Core Ultra 7/ 32GB/ 1TB SSD/ Win11/ 4GB Graphics),151999,4.0,Intel Core Ultra 7 Series 1 155H,Intel,Core Ultra 7,32 GB DDR5 RAM,22.0,16.0,32,SSD,1000,NVIDIA,Dedicated,Windows 11,16,1920,1200,False,1
393,Dell,Dell Latitude 3440 Laptop (13th Gen Core i7/ 8GB/ 512GB SSD/ Win11),92500,4.0,13th Gen Intel Core i7 1355U,Intel,Core i7,8 GB  RAM,12.0,10.0,8,SSD,512,Intel,Integrated,Windows 11,14,1920,1080,False,1
394,Dell,Dell 14 Latitude 3420 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ DOS),31790,4.2,11th Gen Intel Core i3 1115G4,Intel,Core i3,8 GB DDR4 RAM,4.0,8.0,8,SSD,512,Intel,Integrated,DOS,14,1920,1080,False,1
395,Asus,Asus ExpertBook B5 B5404 Laptop (Intel Core Ultra 7 Processor/ 16 GB/ 1TB SSD/ Win11),99990,4.1,Intel Core Ultra 7 Series 1 155H,Intel,Core Ultra 7,16 GB DDR4 RAM,22.0,16.0,16,SSD,1000,Intel,Integrated,Windows 11,14,1920,1080,False,1
396,Acer,Acer AL15-41 Aspire Lite 15 Laptop (AMD Ryzen 5 5625U/ 8GB/ 512GB SSD/ Win11),31490,4.75,5th Gen AMD Ryzen 5 5625U,AMD,Ryzen 5,8 GB DDR4 RAM,12.0,8.0,8,SSD,512,AMD,Integrated,Windows 11,15.6,1920,1080,False,1
397,Dell,Dell XPS 13 9350 Laptop (Intel Ultra 7 Series 2 258V/ 32GB/ 1TB SSD/ Win11),208290,4.15,Intel Core Ultra 7 Series 2 258V,Intel,Core Ultra 7,32 GB LPDDR5 RAM,8.0,8.0,32,SSD,1000,Intel,Integrated,Windows 11,13.4,2880,1800,True,1
398,HP,HP 240R G9 Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),32209,4.45,12th Gen Intel Core i3 1315U,Intel,Core i3,16 GB  RAM,8.0,8.0,16,SSD,512,Intel,Integrated,Windows 11,14,1366,720,False,1
399,HP,HP 245 G10 Laptop (AMD Ryzen 5 7530U/ 8 GB RAM/ 512 GB SSD/ Win11),36990,4.3,7th Gen AMD Ryzen 5 7530U,AMD,Ryzen 5,8 GB DDR4 RAM,12.0,8.0,8,SSD,512,AMD,Integrated,Windows,14,1366,768,False,1
400,HP,HP 247 G8 Laptop (AMD Ryzen 5 3500U/ 16GB/ 512GB SSD/Win11),32849,4.25,3rd Gen AMD Ryzen 5 3500U,AMD,Ryzen 5,16 GB  RAM,8.0,8.0,16,SSD,512,AMD,Integrated,Windows 11,14,1366,768,False,1
401,Dell,Dell 14 Inspiron 5440 Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),67985,4.1,13th Gen Intel Core i5 1334U,Intel,Core i5,16 GB  RAM,12.0,10.0,16,SSD,1000,Intel,Integrated,Windows 11,14,1920,1200,False,1
402,Acer,Acer Aspire 3 A325-42 UN.34QSI.003 Laptop (AMD Ryzen 7 7730U/ 16GB/ 512GB SSD/ Win11),41999,4.55,7th Gen AMD Ryzen 7 7730U,AMD,Ryzen 7,16 GB LPDDR4X RAM,16.0,8.0,16,SSD,512,Intel,Integrated,Windows 11,15.8,1920,1080,False,1
403,MSI,MSI Sword 16 HX B13VFKG-652IN Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB RTX4060),139990,4.6,13th Gen Intel Core i9 13980HX,Intel,Core i9,32 GB DDR5 RAM,32.0,24.0,32,SSD,1000,NVIDIA,Dedicated,Windows 11,16,1920,1200,False,2
404,Acer,Acer Aspire 3 A325-42 UN.34QSI.004 Laptop (AMD Ryzen 7 7730U/ 16GB/ 1TB SSD/ Win11),47490,4.45,7th Gen AMD Ryzen 7 7730U,AMD,Ryzen 7,16 GB LPDDR4X RAM,16.0,8.0,16,SSD,1000,Intel,Integrated,Windows 11,15.8,1920,1080,False,1
405,Lenovo,Lenovo IdeaPad 5 14IRH9 83KX0018IN Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),72190,4.05,13th Gen Intel Core i5 13420H,Intel,Core i5,16 GB LPDDR5X RAM,12.0,8.0,16,SSD,512,Intel,Integrated,Windows 11,14,1920,1200,True,1
